Unnamed: 0,review,hours_played,helpful,funny,recommendation,date,game_name,username
69801,2022 tips scroll down and press manage my dlc and remove the multiplayer and the campaign you have now saved 40gb of space,159.0,992.0,112,Recommended,"15 April, 2022",Call of Duty®: Black Ops III,"dubium
30 products in account"
69803,2022 zombies good price bad,62.9,519.0,34,Recommended,"14 November, 2022",Call of Duty®: Black Ops III,not bill cosby
69804,2022 you re only going to buy this for zombies,76.2,753.0,47,Recommended,"30 July, 2022",Call of Duty®: Black Ops III,Jjohnson134
69805,2021 be honest you re getting this for zombies,460.7,850.0,75,Recommended,"21 November, 2021",Call of Duty®: Black Ops III,"Spicy Chicken Sandwich
85 products in account"
69808,lets be honest you re buying this for zombies aren t you,86.6,795.0,67,Recommended,20 June,Call of Duty®: Black Ops III,Bigtime
69810,2021 let s be honest you re only getting this game for custom zombies,352.1,512.0,69,Recommended,"May 8, 2021",Call of Duty®: Black Ops III,"Kachowski-115
50 products in account"
69811,2021 let s be real you are only buying this for zombies,144.2,417.0,42,Recommended,"September 20, 2021",Call of Duty®: Black Ops III,golf
69815,dont deny it its 2024 or later and you re only buying this for zombies it s worth the cost do it,108.4,413.0,21,Recommended,July 25,Call of Duty®: Black Ops III,"ExitSun
708 products in account"
69816,2022 play for zombies,223.9,393.0,9,Recommended,"April 8, 2022",Call of Duty®: Black Ops III,Clear Vision
69818,2021 campaign train go boom multiplayer deadzombies mods lots of mods you are getting this just for zombies,324.5,365.0,47,Recommended,"November 26, 2021",Call of Duty®: Black Ops III,"Lonesome Observer
542 products in account"
69820,2023 product received for free i only play zombies because i am scared of human interaction the zombies are my only friends,165.9,573.0,224,Recommended,"April 9, 2023",Call of Duty®: Black Ops III,"MaybeJason
123 products in account"
69822,2021 best zombies ever but lower the price,309.1,783.0,21,Not Recommended,"April 28, 2021",Call of Duty®: Black Ops III,"McChicken
32 products in account"
69823,2020 i mainly play strictly for zombies at this point workshop creators don t stop please keep making good maps for this games community greatly appreciated,317.7,269.0,3,Recommended,"April 18, 2020",Call of Duty®: Black Ops III,"KillJoy
346 products in account"
69824,worth it just for zombies,62.4,323.0,6,Recommended,April 17,Call of Duty®: Black Ops III,StΟrm
69827,2020 zombies is good the price is not wait for a sale,211.7,372.0,17,Not Recommended,"September 29, 2020",Call of Duty®: Black Ops III,SaviourScout
69829,2020 60 still on the christmas steam sale activision might be even greedier than ea anyways if you like cod zombies there are endless custom maps some of which are even better than the ones made by treyarc worth it for zombies with friends but don t give activision 60 for a 5 year old game,89.0,280.0,10,Recommended,"December 22, 2020",Call of Duty®: Black Ops III,wilson
69830,2021 lower the price dammit,77.8,331.0,23,Not Recommended,"February 13, 2021",Call of Duty®: Black Ops III,"PossiblyFromMichigan
109 products in account"
69831,2023 lets be honest your here for the zombies,234.3,223.0,14,Recommended,"November 19, 2023",Call of Duty®: Black Ops III,"Demon ♡
518 products in account"
69832,2021 buy if you like cod zombies but lower the price ffs,106.7,263.0,13,Recommended,"March 9, 2021",Call of Duty®: Black Ops III,"MariusSA
412 products in account"
69835,2021 average enjoyer of zombies,98.6,646.0,217,Recommended,"August 2, 2021",Call of Duty®: Black Ops III,"Older Brother
69 products in account"
69840,2022 why tf is this game still 60 dollars,227.6,168.0,32,Recommended,"April 20, 2022",Call of Duty®: Black Ops III,"Croissant
386 products in account"
