Unnamed: 0,review,hours_played,helpful,funny,recommendation,date,game_name,username
6783,2023,431.4,503.0,0,Recommended,"December 3, 2023",Counter-Strike 2,"throtl
83 products in account"
6785,2023 aim at corner wait for enemy turn away for 0 00001 seconds he comes kills me in one shot exit cs go5 stars rating,160.1,914.0,321,Recommended,"August 14, 2023",Counter-Strike 2,CrescentII
6792,2022 product received for free feels like an abusive realationship hate it while you re in it but miss it when you re gone,602.2,620.0,169,Recommended,"October 29, 2022",Counter-Strike 2,"Александр
17 products in account"
6795,2021 met lots of gifted individuals that can look at the ground while spinning and still click heads very impressive,325.7,633.0,492,Recommended,"May 7, 2021",Counter-Strike 2,"pint of tris
3 products in account"
6805,2021 see a guy shoot him miss every shot he turns around kills me in one shot exit cs go10 10,155.2,844.0,489,Recommended,"June 24, 2021",Counter-Strike 2,chill
6813,you hear more n words here then in the 1700s,702.4,706.0,359,Recommended,April 25,Counter-Strike 2,Herrkrosa
6815,2016 opens game buys cases 400 blues later searchs for casual finds kid spamming dank memes music russian guy yelling at kid 9 year old asking for skinsrussian guy yelling at 9 year oldrussian guy clutches last round then dies to bomb russian guy yells i still have knife so fu k you and leaves match99 10 would casual again,946.4,918.0,"2,110",Recommended,"February 17, 2016",Counter-Strike 2,"Nick
9,003 products in account"
6818,2022 after 8 years playing it i didn t improve my skills in game however i learned new language skills now i can curse in russian and brazilian portuguese also my tolerance level to guttural screams and loud sounds was increased better than any psychiatric therapy 10 10,451.2,387.0,161,Recommended,"July 12, 2022",Counter-Strike 2,"VACNET TESTER
1 product in account"
6819,2020 product received for free matchmaking 0 10learning russian 10 10,69.4,642.0,539,Recommended,"August 17, 2020",Counter-Strike 2,benzo
6821,2020 iq tests should be mandatory before being able to play matchmaking,187.4,794.0,416,Recommended,"September 9, 2020",Counter-Strike 2,We are back
6828,2023 after 19 years playing it i didn t improve my skills in game however i learned new language skills now i can curse in russian and brazilian portuguese also my tolerance level to guttural screams and loud sounds was increased now i can bear the crying of my children for longer and i can make them feel better by singing sweet traditional songs from other cultures such as dark eyes or garota de ipanema the girl from ipanema in conclusion counter strike transformed me into a better father and a better person in addition to making me more patient tolerant to hateful people and more trained in languages and cultures better than any psychiatric therapy 10 10,286.9,501.0,315,Recommended,"March 25, 2023",Counter-Strike 2,"76561197960572945
19 products in account"
6830,best way to experience racism even if your the same race and religion recommended,239.3,586.0,228,Recommended,May 23,Counter-Strike 2,"EDiOn
29 products in account"
6833,if i had a dollar for each time someone screamed at me in another language i d still have no money because i spent it on skins,163.8,708.0,479,Recommended,July 3,Counter-Strike 2,ttv btw
6835,2021 an amazing casino disguised as an fps video game unlike counter strike,578.0,545.0,250,Recommended,"July 12, 2021",Counter-Strike 2,"B l u e b e r r y P o p t a r t
1,993 products in account"
6836,2022 things i gave to counter strike 1 money2 time3 lovethings counter strike gave me 1 arthritis2 rage3 hatred of russians spanish and russians4 broken keyboard 2 5 broken mouse 3 6 immature 12 year olds insulting my mother7 9 10 ready8 server crashes9 teammates10 competitive matches11 ez spam12 multilingual cursing13 lag14 cheaters15 64 tick servers16 no skins you re either a noob or a smurf or a cheater17 got a on my russian exam11 10 would play again,356.7,747.0,424,Recommended,"August 20, 2022",Counter-Strike 2,"Madeiras Sunshine
47 products in account"
6840,2021 i don t always reload but when i do there s always an enemy in front of me,171.8,620.0,402,Recommended,"October 13, 2021",Counter-Strike 2,EnR | Jarek
6842,2021 i would love this game if vac system improves,210.2,489.0,30,Recommended,"April 2, 2021",Counter-Strike 2,xD_AYawn
6848,after 2 years playing it i didn t improve my skills in game however i learned new language skills now i can curse in russian and brazilian portuguese also my tolerance level to guttural screams and loud sounds was increased now i can bear the crying of my children for longer and i can make them feel better by singing sweet traditional songs from other cultures such as dark eyes or garota de ipanema the girl from ipanema in conclusion counter strike transformed me into a better father and a better person in addition to making me more patient tolerant to hateful people and more trained in languages and cultures better than any psychiatric therapy 10 10,822.5,506.0,286,Recommended,April 17,Counter-Strike 2,"White Dragon
22 products in account"
