Unnamed: 0,review,hours_played,helpful,funny,recommendation,date,game_name,username
10169,2022 it ruined my life and i have no one to talk to 10 10,642.9,926.0,269,Recommended,"September 23, 2022",ELDEN RING,"TheRedHood
21 products in account"
10171,elden ring was my first soulslike it was kinda overwhelming when starting but i had tons of fun in my first blind run like that s the great part of elden ring you don t have to be this awesome souls veteran to be able to enjoy the game you can just take your time with everything explore the beautiful world enjoy the view and smaller bosses the game doesn t push you to kill a certain difficult boss in order to get somewhere in game you re not forced to farm the same enemies for hours on until you re strong enough to continue your journey you can just keep exploring will eventually level up in the mean time if you re not getting any further with a specific boss then you can just leave it be for now and do hundreds of other things instead,535.7,771.0,5,Recommended,April 23,ELDEN RING,"Newtox
625 products in account"
10178,2023 the note said chest ahead at the edge of a cliff with nothing in sight there were plenty of bloodstains but they must ve missed the jump i had to be sure,253.1,806.0,453,Recommended,"June 5, 2023",ELDEN RING,DasFInazamt
10181,2022 this being my first fromsoftware game i was a bit nervous about the difficulty as i m not usually a fan of hard content or very good at it but to my pleasant surprise it wasn t as daunting as i d thought it d be and it actually ended up becoming one of my favorite games the worldi can t remember the last time i had this much fun just exploring and running around in a game s open world and realizing the sheer scale of it all was both exciting and overwhelming i spent something like 50 hours exploring limgrave alone and getting familiar with the gameplay and controls if i had trouble with a boss or an area i d just go somewhere else on the map until i felt ready to take it on and there s plenty of things to do before even beating the first story boss creature summons were also a huge help and i was very happy with the options available trying out new weapons was fun and even finding new ones for the lore bits was very compelling and made me want to collect them all the gameplaymy first playthrough ended up being something like 300 hours long though plenty of those hours were spent doing random things like climbing hard to reach places to enjoy the view or leaving fellow players a message i also spent plenty of time stubbornly dying to enemies i wasn t quite yet ready to take on and there were two specific bosses that i had a really hard time with but finally beating them felt so satisfying and it was worth all the rage i d felt when dying repeatedly to them the multiplayeri asked for help from some friends at times and there are a lot of funny moments to be had when playing with others it s also not that difficult to find a random player to summon if you need help with a boss or dungeon when you re in a boss arena you can t be invaded so if you re worried about that you just have to limit summoning other players to when you re fighting bosses though honestly the invading wasn t as scary as i d expected especially when you have the option of asking a hunter for help i have some great memories from when me and my friend were invaded times where we got absolutely decimated but also close calls that made us whoop or sigh in relief ending thoughtsi loved the npc s although some of the quests felt like they ended too suddenly also i don t care what anyone says fia s hugs are nice and warm seeing my character in cutscenes however few felt very satisfying especially as i can t help but dress up for that purpose alone lol the only bad experience i really had with the game was towards the end i absolutely hated a certain zone farum azula cough and it was the only zone i ended up trying to rush through moving around the environment was annoying especially because of the enemies it s also the only location where my game crashed multiple times i have to say the location boss was awesome though as was every main boss honestly the optional boss in the area was also one of my favorite designs and one of my most memorable experiences in the game other than that i had a few stutters here and there but nothing too disrupting to my experience even if the game seems difficult i think giving it a chance is really worth it the game gives you a lot of options if you re struggling and there are plenty of playstyles you can give a go suffice to say i m super excited to see what the future dlc will bring and i highly recommend the game also sometimes you really just do need to git guud i never did git guud myself tho,571.3,473.0,13,Recommended,"August 5, 2022",ELDEN RING,"Pippzu (˶ᵔ ᵕ ᵔ˶)
396 products in account"
10183,2023 10 10finally hugged a girl,604.7,726.0,260,Recommended,"July 27, 2023",ELDEN RING,Soroka
10186,2022 you get to be best friends with not just one but two jars,414.2,602.0,135,Recommended,"September 14, 2022",ELDEN RING,"Stip
874 products in account"
10187,2022 i bought this game out of spite because one of my best friends convinced me for the 5th time in a row that soulslike is for me even though i could barely be bothered to play up to the first boss in previous entries he s not wrong that the game seems perfect for me a character customization heavy arpg that actually makes the player work to play better not farm harder with mysterious lore gritty aesthetic and rogue like punishment yet time and time again as much as i want to be enamored by the game i find myself too frustrated to justify spending time improving and default to things that are more forgiving i am weak but when i walked out of the gates and saw the lands in between for the first time my jaw hit the damn floor i immediately identified multiple places i wanted to explore and i felt like there was nothing stopping me from doing it of course the first thing i investigated reassured me that many things could in fact stop me from doing it that s actually what i realized i needed from other soulslikes i don t mind a linear path but i don t like feeling trapped in the same mistake when i m playing elden ring if i can t figure something out i don t feel like my entire experience is blocked i can walk away and go check out something nearby maybe find a spell or new armor that gets me through the fight that was stopping me i m always progressing even if i walk away that option solved my biggest problem with getting into the genre what kept me was all the stuff i d hoped to get out of the other games the characters are vague but the details they share are just specific enough to cause a sense of wonder i actually feel like i m a part of this huge world torn apart by a tremendous war i didn t feel important at the start but i slowly started to say wait you think i m not tough after i took down redacted i actually felt like the world was reflecting my actions and i worked to earn my place as the difficulty rose and it was fun doing it i felt this way when i was a kid and played the legend of zelda for the first time the storytelling is enough to get you interested in doing things going places but doesn t flood you with details dungeons are fun to explore and you know you ll get something out of them there are clear rules to getting to the end but your path there is mostly up to you it s wonderful now to be clear there are some issues i have the ui is pretty unintuitive the important things are difficult to recognize as such but honestly they re so small compared to the highs i really don t care if you want your hand held you ll hate this if you want to feel like you re discovering a new world that will constantly have you wondering if you can survive the next encounter and push a little further every day this is for you,125.5,651.0,12,Recommended,"April 19, 2022",ELDEN RING,SavvyKangaroo
10193,nothing in this game was as brutal as the moment when my son saw me fighting malenia and started cheering for malenia10 10,141.2,703.0,351,Recommended,July 25,ELDEN RING,"Admiral Rinj von Scoot
768 products in account"
10194,the note said chest ahead at the edge of a cliff with nothing in sight there were plenty of bloodstains but they must ve missed the jump i had to be sure,62.6,520.0,292,Recommended,April 24,ELDEN RING,"kamran
398 products in account"
10200,this game made me want to peel off my skin definitely recommend,89.3,829.0,143,Recommended,February 2,ELDEN RING,"NupidStigger42069
78 products in account"
