Unnamed: 0,review,hours_played,helpful,funny,recommendation,date,game_name,username
23519,2021 super fun but please region lock this game lmao absolutely tired of fighting w 500 ping and getting focus attacked w a golden katana before i even know hes near me,515.0,487.0,229,Recommended,"12 December, 2021",NARAKA: BLADEPOINT,BubGod
23524,2022 make free to play so it can be big,77.3,715.0,34,Recommended,"24 April, 2022",NARAKA: BLADEPOINT,THEY'RE EATING OUR CATS
23532,2022 lets see almost a 100hrs on this game and these are the issues 1 chinese smurfing on eu and na among new players their high ping makes it impossible to hit them literally 2 eu and na players are leaving thanks to the chinese players using vpns to get easy wins once again using rubber banding 3 almost every match you have squads teaming up together mostly chinese players farming points and its usually 4 players vs 2 in duo or 6 vs 3 in trios conclusion great game overall very bad and horrible management in the west cant even prevent vpn users from playing on the western servers frankly don t bother buying this game as long as the devs keep blind eye to what s going on with the current state of the game in the west also hackers are barely getting banned since you encounter them on daily basis update 3 5 2023current state of the game in every match is mix of bots and ton of chinese players in the lobby i rarely come across actual players from eu update 2 4 2023 nothing has changed just more events and no bug fixes chinese players are openly teaming up together during matches now they wont bother hiding it videos has been recorded and submit yet nobody got bannedthis is the final update regarding my review on this game dont buy it,640.3,851.0,34,Not Recommended,"October 15, 2022",NARAKA: BLADEPOINT,GTX
23533,2021 naraka is personally a 10 10 game for me most fun pvp game i ve played in years i have over 1000 hours in pubg and apex legends but this game does not really feel like a traditional br it s more like a fighting game somewhat similar to mordhau while being hands down the best action combat melee multiplayer game i have ever played and i ve tried several the overarching br element takes a lot of inspiration from apex legends while feeling different enough to not feel like you re playing the same game pros every weapon and every hero is very well thought out the souljade system adds a lot of variety in gameplay each melee weapon has a variety of options for attacks and combos that make the game not feel repetitive instead becoming very addictive and rewarding for improving in the skillcap is not that high so even new players have a chance against the best players in the game if they read a few games and get enough practice unlike other games in naraka you never feel like you can t beat even the sweatiest player the grapple and free climbing system is absolutely amazing considering that you can grapple and climb almost any object you see it has the best animations i have seen in an action combat game and its not even close even subtle things like shimmying around corners has its own animation the game does not feel janky at all unlike other games i have played recently new world bf 2042 beta elyon i have not encountered a single bug like falling through the map getting stuck glitching through objects etc which is remarkable considering you can traverse and climb everything the textures and model designs for the heroes weapons and environment are fantastic the audio for each weapon and hero abilities makes them all unique and you can easily tell what is going around you the ui is very intuitive minimalist and easy to use the gameplay is very fluid and you can even cancel animations without the game feeling janky or glitchy the downsides the downsides of the game have nothing to do with the game itself all the downsides come from the player base the most complained topics are meta picks region switching long queues strange ranking system but all of those issues all boil down to a low player base at least in the west difficulty is the other issue this is a game that will turn away a lot of new players because those who are experienced will smash their face in it is a hard game to start as you will get rolled a lot but for those that stick it out they will hopefully see what a masterpiece this game is and lastly many players complain about the rng lootboxes the lootboxes are purely cosmetic there is no pay to win in the game let me repeat no pay to win in the game incredibly refreshing for an asian developer the shop has plenty of great skins that can be bought outright to balance out the best cosmetics being locked behind rng you can play the entire game without being disadvantaged for the base price the only thing locked behind a grind are the glyphs but it takes only a few days to get all glyphs maxed out to be on fair ground with all opponents and teammates i have played many games this year that were an absolute embarrassment particularly new world and bf2042 beta in terms of gameplay fun and fluidity i primarily rate a game based on how fun it is to play and for me 99 of that comes from the gameplay not how shiny the environment is in naraka everything works it feels great to play its a whole lotta fun if you invest the time to get better it feels rewarding to duel someone and come out on top or hunt someone down third party get a multikill a clutch play a snipe a satisfying ulti etc the game feels incredibly well made and i think the developers put a lot of thought and love into everything i wrote this long ass review in the hopes that more people give it a shot it s a real gem that is sadly being overlooked in the west and i really appreciate that there s still some developers out that are focusing on gameplay over glitz and glamour,514.5,277.0,4,Recommended,"October 20, 2021",NARAKA: BLADEPOINT,Vayce
23536,2022 i don t usually care much for censorship but we are talking about paid skins those were sold in a way and then modified people bought the ultimate edition just for the matari outfit and it got changed i actually even think the matari one looks better now but the rest are just ugly patches with lower texture quality applied in front of characters on paid skins i ve bought several skins in this game and now i m afraid they ll get changed in the future with no warning whatsoever that s one way to make your playerbase not buy your cosmetics a shame because the game is really fun but this sucks,258.9,276.0,7,Not Recommended,"November 30, 2022",NARAKA: BLADEPOINT,"Mogu940
1,523 products in account"
23542,the validation i feel when beating someone with a chinese name is the validation i never received from my parents,313.5,211.0,139,Recommended,January 4,NARAKA: BLADEPOINT,"Nathi
150 products in account"
23546,2021 i love this game to death it has one of the best gameplay loops i can think of and is nearly the perfect br for me which is why it sucks having to write this review the staggering amount of eastern players on us eu servers is frankly unacceptable you can go from a 30kill game to a game where you can t even react because the enemy is desyncing so much it makes a mobile seizure look like a stock image you never see them get banned but they flood the leaderboard and every match you re only hope at a good game is doing quick match and praying the chinese players with vpns are only looking to mmr climb in ranked blood bath is usually extremely fun as there is no competitive scene behind it so you re 99 of the time playing with players with a decent ping when losing against players who are simply better than you it is still fun and satisfying you can think back and go oh i should have done this or if i would have countered here i could have turned that around losing in such a manner almost never makes you rage losing against a player dysyncing who is pulling off combos then teleporting behind you or somehow countering you 3 5 seconds after you ve swung does not feel good it can completely destroy an a good time and will genuinely make you drop the game for the night or entirely until a strict stance is taken against vpn and desyncing players i refuse to spend another cent on this game and will advice others to stay away,159.4,193.0,13,Not Recommended,"December 29, 2021",NARAKA: BLADEPOINT,"Jigsaw
299 products in account"
23548,2021 this is the best battle royale game i have ever played pro each melee weapon has its own combo many ways to kill an opponent unique combat mechanism basic beats parry parry beats charged and charged beats basic master this and you can get many kills successfully parry can make enemy drop their weapon on the ground its hard to cheat since aimbot is useless cuz of the combat mechanism maybe theres other cheats but i believe its harder to cheat in this game compare to other battle royale games not pay to win the micro transaction is to buy pretty outfit and weapon skins and i think thats reasonable if you are stingy you still can win the game with default outfits everyone can be a spiderman i think this what makes this game feels superior compare to any battle royale game the grappling hook feels so smooth to travel into any buildings con theres only 3 mode which are solo trio and deathmatch well its like other battle royale games but i think its really cool if the dev can add 4squad and 5squad mode hahahi am sorry theres only one con i can give at the momentthis game deserves a good rating so i give 9 10for people who is complaining why the game is not free please understand that not all good games should be free both paid games and free games have their own advantage and we should understand that if you cant buy it then dont buy video games are not essential its a luxury and people should only buy when they can afford it,260.8,542.0,16,Recommended,"August 16, 2021",NARAKA: BLADEPOINT,"CikMeow
55 products in account"
23550,2021 boob physics,60.4,529.0,192,Recommended,"August 15, 2021",NARAKA: BLADEPOINT,Blits
23553,2022 all the negative reviews that cite the issue with chinese players ruining the game for the na eu audience could not be more true i read them bought the game anyway to give it a shot and your very first public match you ll be greeted to just how bad it is trying to play against someone from china using a vpn you can t hit them you can t counter them and they ll land 100 of their abilities on you no problem the fact that more of an effort hasn t been taken to remove these players using vpn s lag switches and other nefarious methods to get the upper hand in this game shows just how little the dev s care about porting this game to the west it s to the point when you queue into a match just look for the players with chinese characters in their name and you ll already find the winners of each round couple the above with the fact that this game is basically a melee clone of apex legends with a generic eastern theme and suffers from the same lack of new maps any that apex did for months means you ll get tired of the same play each time if getting face rolled for hours on end by chinese players in an apex knockoff battle royal game is your jam then 10 10 this is for you for everyone else thats sane and isn t a masochist look elsewhere update 12 feb 23 at the urging of a friend i picked this game back up because he said and i quote they changed the game a lot it s a lot more friendly to new players now allow me to enlighten you all to what new player friendly is for this game developer there s now a rating system for ranked matches think arena rating and mmr from like wow if you played you start of at like bronze v and work your way down numerically v iv iii ii i etc until you re in the next bracket so on and so forth in theory this means you re only supposed to go against other players around your same mmr hence keeping the chinese players that have no life d this game from its inception out of your games right wrong there s so few players in that low mmr low bronze for new players that the queue times for those matches would be astronomical so what did the dev s do they fill those low ranked matches with bots ez mode bots in ranked matches however they give the bots random names like taitai2000 and other randomness so you think you re playing against other players and giving you the feel like the mmr system is working it gives you the illusion that you ll be able to work your way up the brackets and gradually face stronger players as your own skills improve its a farce from bronze v to bronze ii it s nothing but bots with the occasional other na player in the same boat as you there s even a badly translated tooltip on one of the screens that reads something along the lines of robotic players decrease as you ascend through each stage the whole thing is designed to catch you and make you think you re successful then we get into bronze ii i and silver tiers and above this is where you encounter the carries chinese players back again in full force tanking their own mmr or queuing with brand new accounts that sit afk in party so it drags their main account down into your mmr so they can fight you for the ez wins so what does this all mean the game is still not region locked you still fight players from china and all over the world and fight their internet connections their lag and their no life status on the game instead of region locking the game like many na players have called for the dev s create this fake mmr system a system designed to pull the wool over your eyes and make you believe you re actually achieving something in reality all you re doing is being prepared as fodder for far eastern players who are either too bad or too bored of playing against each other that they want to ruin your gaming experience instead,109.2,635.0,38,Not Recommended,"April 10, 2022",NARAKA: BLADEPOINT,Kithek Hunter
