Unnamed: 0,review,hours_played,helpful,funny,recommendation,date,game_name,username
84800,2021 the reasons why people love and hate this game are exactly the same the game won t offer you a goal guide or quest but it will offer you countless hours of exploring and experimenting with whatever you want if you start playing with the mindset of this being your usual roguelike or rougelite you ll probably come out frustrated the game never boxes you in in fact it wants you to use its own mechanics against it every wall is crossable every enemy is defeatable the game feels difficult because an unbreakable material or a boss with a million health feels like a roadblock you re not meant to cross but in noita you are meant to do it the game s seemingly ridiculous difficulty stems from how non conventional the combat is you might not be able to take that eldritch monster straight on but you can turn it into a sheep and teleport it into lava or you can dig a tunnel and just never have to deal with it on a slightly different note as a completionist this game has felt incredibly satisfying to play i m the type of person who checks every bookshelf in a game just to read there are some books here fifty times so i wasn t expecting anything big when i tried to go out of bounds let me tell you there are no bounds every time i tried to throw the game a curveball it threw one right back at me in conclision noita is best played if you enjoy learning the game s mechanics through trial and error the game is more rewarding than it seems and it encourages creative problem solving it won t be easy but every accomplishment will be yours,193.8,806.0,5,Recommended,"8 February, 2021",Noita,Puli
84802,2022 product received for free every run ends with me saying i wonder what this does,81.0,516.0,370,Recommended,"3 February, 2022",Noita,"Blue Shell
788 products in account"
84803,2023 my own vomit turned into a rat after i ate some slime then the rat fell into a pool of magical transformation liquid became a giant floating lava skull and instakilled me 12 10 would get noita d again,553.0,494.0,179,Recommended,"14 February, 2023",Noita,黒 Crow
84806,2022 have you ever been tripping on mushrooms and accidentally drink super rare urine off the floor because you thought it was a shield potion but it actually caused you to vomit lava on your feet but you re immune to fire so you drown instead that s how it feels to play noita,79.4,591.0,342,Recommended,"14 September, 2022",Noita,Zanny
84807,2021 there is so much more to this game than meets the eye the basics you play as a mage you kill enemies with your wands spells you progress downward through levels and reach safe zones where you can purchase new wands spells and perks when you die it s game over and the entire game restarts quite literally due to the design if you progress far enough you ll reach the end game boss defeat said boss to achieve victory sounds simple enough right well you have one life and there are no saves zero hand holding the game tells you the controls and off you go to explore and die enemies do not around they will wreck your bosses laugh at you and ragdoll your corpse if you re not prepared everything else can and will kill you you ll think you re having a good run then bam death by falling rocks exploding barrels hidden traps lava acid electricity panicking pressing the wrong key at the wrong time the list goes on and on pros wand building and player perks there s a huge variety of spells for your wands as well as player perks spells can be linked together in weird and wonderful ways for maximum carnage it s insanely fun and dangerous experimenting with different spell and perk combinations exploration and secrets without spoiling too much the game is a lot larger than it appears try going off the beaten track and see what you can find there s a lot of secrets to be discovered some are massively cryptic though so i found myself having to search for answers online enemies and bosses awesome variety of enemies with unique stats and abilities you ll find yourself learning enemy behaviour and capabilities a spell which is effective against one enemy might be totally useless against another pure destruction everything in the game can be destroyed in one way or another solid rock can be nuked into oblivion liquids turned into gas and flammable items burned so you can unleash your inner pyro potions liquids you can collect all kinds of liquids in bottles which act as utility items for example some put out fires while others provide temporary buffs and debuffs there s so much more i want to say but it s way more fun and rewarding discovering these things for yourself cons rng can be a sometimes the random spells wands or potions you find might be undesirable depending on your situation on the flipside it pushes you to adapt and figure out how to make it work in your favour there s also a certain event which makes all of the safe zones very unsafe i won t say what it is or how it happens but it s normally triggered by you the player sometimes it can seemingly happen at random and will make the remainder of your run a lot more painful singular pixels it s not uncommon to accidentally explode yourself because you did not see a single pixel right in front of you during a fight it s also quite easy to become blocked or trapped by a single pixel while you re manoeuvring or fleeing no saves or difficulty setting i personally do not think this is a bad thing but others might the game is designed to be challenging and harsh you will die easily and frequently losing everything after many hours of hard work can be really frustrating but that s the nature of the game overall noita is an amazing game with an incredible amount of depth it will punish you over and over but you ll keep coming back for more,187.4,316.0,4,Recommended,"11 October, 2021",Noita,"Ryno
256 products in account"
84808,2023 i ve never beaten the main boss i ve never made it too many layers deep i ve never made an amazing over powered explode everything wand the wand mechanics confuse me a lot i ve never been able to make a very defensive character i ve not unlocked all the spells i ve rage quit the game more times then i can count but i keep playing it again and again and again,121.8,489.0,75,Recommended,"4 February, 2023",Noita,"Milk
1,596 products in account"
84810,2020 they market it with the pixel simulation and it s certainly very cool and makes many other games feel horribly rigid but the real draw is the wand spell building system it allows you to eventually build totally broken god tier wands erasing anything in an instant nice power trip until you are polymorphed into a sheep with 1 hp the game is difficult and sometimes death feels a bit unfair but even then it still manages to pull me right back in for just one more run the world is also bigger than it first seems so there is plenty to explore i just wish there were more in game hints to secrets and lore much of that stuff is very obscure and hard to discover organically without resorting to reading stuff from wiki according to steam play time tracking this might be my most played game ever and although quantity does not equate quality it is an indication of something here,239.0,281.0,6,Recommended,"December 23, 2020",Noita,Tapio
84811,2020 honestly this is one of those times where i really wish there was a middle thumb option for reviews i love this game but noita is definitely the kind of game that you ll either absolutely love or completely despise pros awesome physics between all the ways you can interact with the world mess with terrain and even perform genuine alchemy it s definitely the biggest selling point of the game it s just super cool the wand building there s a huge variety of spells at your disposal at any given time and there s quite a few spells you can unlock through various secret shenanigans having the ability to concoct any handheld death machine you want and subsequently die to improperly crafted ones gives the game such a fantastic extra layer of creativity and encourages the player to a experiment often and b learn from any deadly mistakes huge world the main progression is pretty linear but there is an absolutely absurd amount of secrets and hidden biomes for you to explore like holy crap i don t think i ve ever played a game with this sheer amount of secret side stuff before a couple biomes are really lackluster looking at you snow chasm and desert chasm but 95 of the time discovering any of these new out of the way areas and solving the obscure puzzles is just a joy that i haven t felt since first playing the original spelunky it s wonderful neat story it s told mostly through out of the way lore snippets and through the environment and it paints a cool picture of what you re doing why you re here how the world came to be etcetera while letting you fill in the blanks super moddable is there anything you don t like use mods and the game s more fun ta da subjective the difficulty oh boy noita is hard and everyone on the internet has already probably told you that for the most part i like the challenge but far too often have i succumbed to something completely out of my control you can learn from deaths from enemies or your own spell mishaps or from environmental shenanigans but sometimes the cards are stacked against you and you just get instakilled by an explosive buried in snow or dunked in to a sea of lava by a few pixels of teleportation liquid the problem is this is spelunky tier difficulty in a game where any run that s not a speedrun will almost always take several hours you die it s back to square one and you ll have to go back to all those secret areas all over again if you want to take advantage of their spoils this will really be the deciding factor in whether or not you like this game are you okay with the risk of losing hours of progress to little avail personally i think noita offers just enough for me to be cool with that but i wouldn t blame you for hating the hell out of it cons not a huge amount of unlockable content there s plenty of wonderful secret sights to behold sure but outside of the eleven orbs there are only a measly seven or so challenges that actually unlock permanent rewards two secret bosses three super secret puzzles and two huge challenge runs this probably sounds like a decent amount but remember each run takes many many hours you ll only unlock this stuff if you re going for all the super secret hidden side stuff if you re just doing a normal go straight down run there is precisely nothing to unlock there are actually plenty of achievements but they mostly don t unlock anything without many achievements that provide tangible rewards it often just feels completely pointless and frustrating to continue when you just suddenly die to some random x factor there s sort of a wand meta if you want a god run you re going to have two wands a rapid fire homing death laser that kills everything instantly and an infinite black hole wand you re basically shooting yourself in the foot if you re not trying to build for that and oftentimes the game will be the one shooting you in the foot by not giving you any good wands some weird perks some of them just feel like they should be features and some of them are one time bonuses that scale horrendously tinker with wands everywhere is so necessary that i feel like you should just start with it cough cough get the mod that lets you start with it and all of the wand upgrade perks are so profoundly dumb unless you get them while you already have the godliest wands some very questionable enemy design the game largely has some actually pretty cool enemies but there s just a fewww too many enemies that are massive run ending terrors got hit by a blinding wizard good luck fighting a bulky guy with a poison gun have fun getting your health drained for 30 years if you don t fight him from 30 miles away fighting a scrawny robot assassin haha oops he s actually the tankiest enemy in the game this extends to the two of the bosses the lava lake boss is probably the most nonsensically hard enemy in the game everything is fine except for that polymorph attack why almost guaranteed to end your run it just turns the fight in to oops do you not have any way to deflect projectiles or hide guess you die and the final boss is weird he s mostly super cool but if you re going for a high orb run the fight is going to take centuries have fun eating through several billion health that s not an exaggeration even the godliest of god runs will literally take over half an hour to kill it conclusion noita is an absolutely magical experience wrapped in a layer of barbed wire the game s still in active development so hopefully it gets even better play with your own selection of mods for the ideal experience because jeez there s a lot of wonky stuff if you can vibe with the brutally punishing difficulty i can t recommend this game enough however if you don t want to deal with that difficulty combined with the huge run length give it a pass or buy it when it s on sale edit 10 13 21 lol parts of this review haven t aged super well since i haven t touched noita once since before the full release because of how high commitment it is still a good game but sheesh just thinking about how much there is to do in the game with my completionist brain is so stressful,169.0,379.0,4,Recommended,"November 17, 2020",Noita,"Rainwad
168 products in account"
84813,imagine if everyone kept telling you flappy birds had an amazing endgame and you couldn t make it past the first 3 pillars consistently,147.5,209.0,74,Recommended,May 19,Noita,kaddar
84814,when i was younger i always wanted to play a game that gave me incredible freedom when it comes to magic something that didn t give me just a little set amount of spells i can use like most games do but rather a place where to do magic to create my own years later noita does that and much more wand tinkering and spells in general would require a review on their own there are around 380 spells in the base game and 422 in the current beta branch update beta branch went live two days after this and most of them if not all are interesting in their own right the amount of things you are allowed to do is immense do you want a wand that casts angry boulders ready to fly onto any and every enemy they see crushing them to their death not only it s doable but it only requires you to use two spells perhaps you d like a wand that shoots nukes at the same rate a machine gun shoots its stuff i wouldn t recommend it your pc probably wouldn t like it but it doesn t hurt to try once or twice or how about using a spell that kills read destroy any enemy within range the range being your entire screen just like that as if they were disappearing because you ve snapped your fingers such spell exists of course some spells are better than others and some require better wands to be casted but noita works in mysterious ways and with the right set of spells even the most humble ones can become weapons of mass destruction always cast wands add lots of fun and new ideas to the mix every time you cast any spell from said wand the spell or spells you can have multiple always casts will get casted as well a good always cast spell can and will change your run although they re fairly rare to come by the complexity of wand tinkering is definitely not something that i can fully cover because even now 283 hours into the game i still feel like i ve barely scratched its surface noita does that pretty well making me feel like i m still learning something new every single run for those who are interested youtube is full of tutorials on how to maximise damage on which spells you want to look for on which synergise well personally i ve always avoided them spending time tinkering is a key component to my enjoyment of the game and sharing the results with some of the friends that play the game makes it even more satisfying alchemy or as a friend of mine likes to call it shampoo making definitely deserves a mention as well alongside potions in general note that when i say alchemy i am referring only to the act of potion mixing and not the concept of alchemy as a whole with all its references to real life more on that later noita has a big variety of potions liquids and materials going on and lots of them interact with each other from mixing acceleratium a liquid that makes you go faster and levitatium a liquid that lets you levitate faster together to create hastium a liquid that will let you both move and levitate faster to creating an alchemical wonder that will turn everything it touches into gold alchemy comes in different degrees of complexity just like wand tinkering then you can spend hours upon hours messing around with liquids trying to conoct something new and interesting while updating a spreadsheet open where you save your discoveries mixing acceleratium with slime isn t a good idea heating up water will create smoke setting a small pixel of oil on fire will eventually turn the whole pool of oil into fire throwing blood on lava will create volcanic rock and so on chances are i ve never seen every single potion in the game since i ve happened to stumble across liquids i had never seen before not too long ago the current beta branch is adding some more liquids as well one of which is a game changer when it comes to alchemy and will make mixing potions easier and more fun for the potions to have an effect on you you don t necessarily have to stain yourself with them since the game also has a drink and eat mechanic of course drinking some potions and liquids isn t a good idea why would you drink your flask of acid but the option is always there you can also eat some materials eating some things in certain quantities might also make interesting things happen so go ahead and consume everything you see if it does you good good for you and if does you bad at least you ve learnt something new i ll never be able to stress enough the importance of learning from your mistakes in noita the whole point of the game is to learn learn which spells are good and synergise well learn which potions you always want to have with you learn which enemies are best avoided what they do learn what perks do and which are best exploring the world is incredibly fun its main structure remains mostly unvaried you can go down the mountain trying to get down as much as you can but it only represents a small amount of the content noita has to offer there is a whole world to be explored filled with secrets enemies bosses and special wands in due time if you re willing to sink time into it you ll learn how it s structured how to traverse it and where to look for anything that might make you stronger the artwork is amazing i am in love with it and i m still disappointed there is no points shop 500 steam points for a noita profile background will be worth it enemies bosses in particular will teach you the importance of having different kinds of damage since some of them are completely immune to certain kinds while also being weak to others is it really that surprising that the guy made out of fire dies when thrown water at a wand you ve made after hours of careful consideration and hard work to look for the right spells might turn out to be completely powerless against the boss you meant to fight and yes it has happened to me some might complain the game is too harsh on you and while i don t agree with them denying it s still harsh would be unfair the game is harsh some enjoy calling it a great self discovery tool for masochists you will die a lot sometimes in frustrating ways through no fault of yours sometimes it s so random you ll ask yourself how am i meant to avoid this but you will learn how to survive longer how to avoid dangerous situations how to heal consistently how to make the best out of what you have and random deaths will happen less and less you ll come to hate polymorphine and enemies that shoot it they ll make you feel vulnerable even at your strongest and i like it you ll never be fully invincible there are also some complaints on the game s secrets even i felt the game might have been too wiki dependant when i first started since i just couldn t figure out what some things meant what they did how to use them but the game does give you the means of solving them although admittedly a few of them are really obscure a lot of answers are scattered throughout the world and when you ll find them you ll connect the dots and feel satisfied and in future runs you ll be able to take advantage of your new found secret so go ahead and explore the world your curiosity is rewarded do keep in mind the game is trying to go for a whimsical esoteric feel that rewards people willing to take their time and understand what surrounds them it has plenty of references to alchemy and finnish mythology the latter i am completely unprepared for the former i m lucky enough to know things of watching how the game interprets some of its concepts the emerald tablet alchemical symbols has been very interesting it also even has its own writing system and some secrets are yet unsolved perhaps you ll be the one to solve them try the game out then give it another try if you ve played it in the past and keep playing it if you ve never stopped the game is a harsh teacher but learning is incredibly fun,346.6,325.0,9,Recommended,April 6,Noita,bingotunes
