Unnamed: 0,review,hours_played,helpful,funny,recommendation,date,game_name,username
13525,2023 creative assembly has decided that going to war with their playerbase is the best option in light of recent failings poor marketing anti consumer practices and outright hostile community management here on steam what was once a thriving studio and series has become a collection of broken promises aggressive sales tactics and outright threats on the community while currently in the process of trying to walk all this back the damage has been done dlc prices have increased while content has decreased when concerns of this were raised the community was quite literally told to buy it or support would be dropped when it was pointed out that support doesn t really exist due to the continuation of major bugs broken ai and gameplay balancing issues the response was to ban people when it was pointed out that making a hero shooter with hyenas was a terrible idea and the community wants rome 3 empire 2 or something along those lines again the community is told to shut up and get in line hyenas has been canceled to the tune of millions in losses and jobs cut somehow the problem in all this is the community when pharaohs got announced it was met with a criticism and push bask as a reskin of total war troy and pushing a sagas title smaller budget scale and price as a full scale total war release wasn t at all what the community wanted bare in mind during all this ca dropped support for three kingdoms because despite selling well and getting good response it wasn t big enough for sega ca so they killed the project apparently a team of just 20 people work on total warhammer content now and ca s studio size has been reduced by 40 with hostilities continuing towards the community though ca is trying to walk it back with a non apology once they got enough push back for banning mod creators on steam which locked them out of updating their mods or even uploading new ones guess ca realized it wasn t the best idea ot remove those actually helping their game i m 100 in support of boycotting ca products until this sort of stuff is addressed and the community given the respect it deserves i ve been playing total war games since the original shogun hit store shelves back in 2000 there was a time when i held out hope we d see shogun 3 but these days i question if studio management and sega will allow the studio to continue long enough to release another game let alone something the community is actually interested in playing been over 10 years since rome ii released and since then it s been calls for rome iii shogun 3 medieval iii and empire 2 yet beyond the total warhammer releases they ve largely missed the mark for bringing something new the community wants three kingdoms had its success but ca and sega weren t happy with fan spending so despite being from 2019 the project is dead buried and forgotten about oh and ca is quick to blame steam for their harsh treatment of the community as someone who has moderated discussion boards on here before for games that s a load of crap but ca is used to shoveling crap to fans so it is on brand rip creative assembly,163.8,816.0,3,Not Recommended,"30 October, 2023",Total War: WARHAMMER III,Keji Goto
13528,i go to sleep after this turn,390.7,512.0,222,Recommended,18 June,Total War: WARHAMMER III,"world of warcraft enjoyer
96 products in account"
13529,2023 i really really want to love this game i ve played over 3000 hours of its predecessor and was beyond excited for this game to come out the main problems 1 cost dlc chaos dwarfs was the most expensive dlc to date but the upcoming shadows of change is a slap in the face to everyone who supported and loved these games it asks for 25 usd for a few units and three legendary lords prior examples in the previous games offered the same exact thing for 10 including one of the legendary lords being free for everyone even then the free lord would still be high quality more often than not free ones have included imrik and rakarth for the high elves and dark elves respectively which became many people s favorite way to play the entire faction 2 updates have slowed to a crawl the game is still littered with significant bugs nearly a year and a half after its release communication has been uncharacteristically absent compared to the norms of the previous games at times gamebreaking bugs like nakai s inability to recruit kroxigors the units he specializes in have been present for three months or longer this particular bug was fixed for free by a modder in about 5 minutes of work which leads us to 3 the game s future is uncertain and troubling a previous game in the total war series three kingdoms was met with a huge positive response upon release but the dlcs and updates seemed disconnected and disappointing for many players whenever new content came out gamebreaking bugs would follow including ones that would never be fixed when the purchases began to slow down the entire project was unceremoniously cancelled many people fear that this game might inherit the fate of three kingdoms the official response to this price hike has been troubling at best many people have invested hundreds or thousands of hours of this series and wanted to see it through dlcs were bought consistently and regularly because there was trust and goodwill towards the developer and while they may not have been perfect each would often lead to countless hours of enjoyment and unique opportunities and ways to play the game i and many others just want a return to form we want to be excited for new content not anxious many of us are more than willing to pay for content that shines with love and care such as what has already been accomplished in warhammer ii we want to feel secure in the game s future without worrying if or when the skeleton crew will be recalled we want to see that the game is cared for and that bugs especially significant and simple ones are addressed we want more open and transparent communication and to see that feedback is being respected we are upset because we put so much of ourselves into this game and want it to be as great as it can be living up to the potential that has already been created and witnessed if warhammer ii was any indication when the developers are allowed the time and resources to make something great the community by and large won t think twice about getting dlc that meets a respectable quality for the price we don t want the future and functionality of the game to be tied to exponential price hikes and radio silence we want something close to what we already had and what has already been made time and time again many have been invested in this game series for over 7 years many have been waiting with excitement for the conclusion to the trilogy of phenomenal games the people who have been hurt the most by this abrupt and inexplicable shift are the ones who have been there for years and have happily and willingly supported the game and all of its content the ask is only to get something close to what we already had to what had already been developed sold and delivered to us many times before for better or worse the treatment of this game will affect the future of the developer publisher and playerbase make it count edit may 1st 2024 i am pleased to say that it feels like things are finally turning around the developers have become a bit more communicative and they have addressed many major points of concern they started by pushing out hotfixes for various bugs and followed it up with providing much more value to the shadows of change dlc to make it worthy of its price point even after its release the thrones of decay dlc has also just launched with a ton of new content along with the completely new option to buy each different part of the dlc separately so far the game seems to be in a much better shape and future is looking far better than before speaking strictly for myself i am now satisfied with their change in direction and substantive response though it would not be unwise to hold off on preorders for future updates until they actually go live to make sure the quality is consistent,212.2,368.0,4,Not Recommended,"August 19, 2023",Total War: WARHAMMER III,Dylmystro
13536,2023 the right to receiving a positive review is a privilege it is not an entitlement you earn by trying to silence us,154.1,574.0,17,Not Recommended,"November 10, 2023",Total War: WARHAMMER III,Galahad
13543,2023 good game really enjoy playing technologically advanced rodents for hours on end but when is total war lord of the rings coming,175.4,432.0,21,Recommended,"March 1, 2023",Total War: WARHAMMER III,"BA
239 products in account"
13544,2022 at the moment this game is a green banana,353.1,924.0,282,Recommended,"June 4, 2022",Total War: WARHAMMER III,Arniebabez
13549,this is the kind of game i dreamed of as a kid pirates orcs vampires fighting each other i just wish i didn t have to have to buy so many dlcs to unlock everything just give me one or two really good expansions,88.5,390.0,7,Recommended,April 3,Total War: WARHAMMER III,"Vio
2,259 products in account"
13550,2022 ate elves ate mannlings ate chaos ate greenskins ate skaven ate vampires ate lizardmenluv me axeluv me goldluv me grudgesluv me mountainsimple as,145.3,503.0,243,Recommended,"August 26, 2022",Total War: WARHAMMER III,AnnaMorkin
13554,2022 after you pay 300 for the 1st and 2nd game and all of their dlc plus the dlc for this game then you can have fun and play,480.4,550.0,185,Recommended,"December 14, 2022",Total War: WARHAMMER III,"Pickles
166 products in account"
13557,2023 warhammer 3 is like a new pair of expensive shoes with a tiny piece of glass jumbling around in it that you will never get out you will turn it upside down and shake it you will change socks you ll walk differently you ll think you ve taken care of it and you ll feel amazing in your new shoes on a beautiful day for a while and then you re stung again foremost is that it s addicting because of its excellent core gameplay and there always being something new to try or get better at wh3 is huge various and it s good it s awesome even speaking as someone who played rome shogun and medieval 2 for a decade if i want to play medieval again i ll just start a bretonnia campaign and that s just one of the many factions unless i want better music pre battle speeches and those cool event movies as you find out things that excite you engross you and build your book of strategies you will find out other things such as the loooooooaaddd times actively discouraging manual battling the performance is poor for the visual quality especially on minimum it still chugs after you make it look like dough and you need mods to demake it enough to not cook your gpu the amount of factions lords you can play with the base game is low and you re expected to have warhammer 1 and 2 to access their races and a lot of dlc after you ve already paid full price dlc content isn t intrinsically bad but it s likely that you ll be a bit disappointed if you just purchase wh3 new factions are starkly powercrept old ones are being updated but at a glacial pace there exists a downright silly anti player bias where enemies will sometimes ignore all reason and self preservation to march full stacks at you from preposterous distances sometimes they declare war the instant you discover them and perhaps they were building armies and waiting in the fog doing nothing but waiting only to launch them at you once you meet them even though they were adjacently surrounded by other hostile targets edit this may have been retuned as of 4 0 will update later the empire is supposed to suck and have an agonizing start position and it being recommended as a beginner faction is a cruel joke chaos is the main character and general favourite and you will feel it enemies take less attrition in higher difficulties to the point of rendering it irrelevant this hurts vampire skaven tomb king and nurgle players skaven plagues do unavoidable unmitigatable attrition to an army putting it out of commission for 5 turns plus 2 5 more to heal back up moreover they do not care if you are allied with them allying with skaven does not stop them from plagueing you because they plague your common enemy and they spread for a long time having war declared while being next to your new enemy s lord or city will trap you inside of their zone of control and not let you leave unless you initiate an attack and then retreat some critical strategies that make your faction not miserable or even quite powerful will take many hours and new attempts to discover unless you watch a video first in other words racial tutorials are barebones and don t describe practical play expectations as cathay chaos will ignore the great bastion outside of a rare scripted event and backdoor you with a hilarious 20 turn journey through the mountains the ability to build walls around minor settlements was removed even at the maximum growth stage and maximum wall building tier huh unit performance is not insignificantly dictated by an undocumented animation metagame which governs splash damage and entity finishers quests and grudges that require raiding a region or attacking a city lord with a hero don t complete if you do more than that claiming the region claiming the city or slaying the lord in battle nope you have to specifically raid that region and you fail the quest if you conquer it instead every time you leave a section of your border undefended you are punished severely and have to learn repeatedly to always expect the most annoying inconvenient bs to occur even if taking it slow means crippling your campaign this does make some starts where you re totally exposed on multiple fronts reliant on big gambles pathfinding around walls in siege battles may cause hemorrhoids playing chase the goose with an enemy lord in march stance that just perfectly slipped by you will cause hemorrhoids ai factions have a hidden faction potential which gives them artificial extra production regardless of difficulty and autoresolve power when fighting each other legendary lord factions have much more fp than minor factions and will erase them by virtue of fp difference rather than actual military difference this also means allying with minor factions is pointless additionally when the player hasn t discovered these factions yet they have another invisible mechanic shroud their fp based autoresolve advantage is doubled this means that you drastically change the nature of the world simply by having vision of it and if you re not careful you can significantly nerf factions you like while distant enemies keep their undiscovered bonus fp is both randomized and weighted based on your starting faction so now you change the nature of the world just by what faction you start with this is silly it s understandable to give ai production and military bonuses based on difficulty but to include these arbitrary invisible modifications just confuses the player and tempts them to metagame rather than play normally beyond your comprehension if your ambush trigger fails and the enemy declines to engage he can just walk right through your army and raze your settlement instead of being forced to retreat backward like the player is while passing your turn and sieging an enemy city if they sally out to fight you and you don t slay enough troops such that the enemy garrison survives and you don t claim the city your siege is canceled and a all of your equipment building progress is lost b attrition will not tick that turn and c another faction can initiate their own siege on the city stealing the tag from you new factions are added without care to how they affect the situation of old factions the immediate neighbours of chaos dwarfs perhaps the most juiced up faction to exist received no rebalancing when they were added despite it wholly changing the nature and demands of their faction starts the dammaz kron shuts other than that it s fun sometimes a lot of fun see the shoe metaphor if you re looking for more complex diplomacy and economy other tws like three kingdoms would be more to your taste however in my opinion tw diplomacy was never good no matter how deep it was and having to meticulously manage your trade network would be silly in the face of kragbock teh eternel killer coming out of the fog whose sole responsibility is to well it s in the name diplomacy is there and it s deep enough though missing a joint war declaration option instead of one of you having to be at war first it could be tuned better economy is the same different factions have fairly different styles of diplomacy and economy so i suppose that s how the game makes up for it breadth over depth but not too shallow that same principle applies to much of the title i reiterate buyer beware if you expect to make a single purchase or even a few and be done with it,481.8,172.0,10,Recommended,"May 31, 2023",Total War: WARHAMMER III,Christmas Treant
