Unnamed: 0,review,hours_played,helpful,funny,recommendation,date,game_name,username,predicted
48532,whoever came up with call of duty hq should be stripped of their human rights why would i want to go through two game launches to play a copy and pasted game,113.2,633.0,43,Not Recommended,31 August,Call of Duty®,"Chappzie
365 products in account",False
48538,2023 this game is absolutely terrible warzone gets all of the content while the people who actually pay for the main game get shafted by the developers and get fed scraps all game decisions are driven by some secret internal algorithm that activision uses to maximize profit from cosmetics and keep players playing as long as possible this makes every single game released since the birth of warzone feel soulless and directionless in comparison to before people who keep buying the fully priced dlc they call games they will be releasing is primarily the problem however too many call of duty fans love getting fed their yearly slop and cry out why criticize the game just don t play it because they lack the critical thinking skills required to understand that you can criticize a game without hating the entire franchise activision consistently and repeatedly overworks its developers and stifles actual creativity most obviously apparent in the zombies mode offerings in cold war every single zombies map was at least 50 reused assets from the campaign which then progressed into vanguard being this extremely terrible attempt at a small scale outbreak with a single round based map thrown in there which was also a remake to now modern warfare iii zombies is quite literally just warzone dmz with zombies put in as an environmental hazard there are no rounds you have 60 minutes to play or you get kicked out there are 24 people on the map but it is entirely pve the execs at activision are the worst executives i have ever seen in the video gaming industry shamelessly forcing the developers of call of duty to implement the worst most unfun features into their games to try and optimize their backend numbers which shows that people spend money on microtransactions which in reality are macrotransactions you should not support this game or support activision blizzard each game released gets lazier and lazier while activision cries out about how it s the largest and most innovative offering yet when in reality it s the sloppiest and most soulless please spend your money on something better than this,380.1,839.0,11,Not Recommended,"18 August, 2023",Call of Duty®,"Astradave
137 products in account",False
48548,sweet lets play mw2 update okay thats fine launches cod hq updates resets to update launches cod hq again plastered with mw3 mw3 everywhere so it lags like crazy finally able to breathe to get to mw2 launches mw2 from the hq reset to enable new update for mw2 enables update for mw2 mw2 closes and updates relaunches mw2 back to hq relaunch mw2 from hq inhales deeply jesus christ man,262.0,390.0,34,Not Recommended,April 9,Call of Duty®,TeamA99E,False
48556,do not buy mw3 if you have your doubts about the game and think you will be able to refund it think again i bought the game today and played just under 80 minutes of mp game was not that fun for me and i decided to refund it well steam decided that is not possible they are including my warzone hours and all the dlc that was apart of warzone which are all free and i did not pay for they say i have played 85 hours of the game but also that i purchased it today 17 feb 2024 how can i already have 85 hours on a video game i bought today you have been warned,111.7,779.0,46,Not Recommended,February 17,Call of Duty®,"Leg1oN
228 products in account",False
48563,2023 monetization hell feels like i m browsing netflix just to play the game,68.8,613.0,45,Not Recommended,"February 24, 2023",Call of Duty®,John Warden,False
48564,2023 i love being lied to and told this would be a two year game,196.8,547.0,22,Not Recommended,"August 19, 2023",Call of Duty®,"the tradtion.
145 products in account",False
48565,2023 70 dlc,297.4,768.0,53,Not Recommended,"November 13, 2023",Call of Duty®,Zephyr,False
48566,endless packet burst server related issues i suppose it s quite hard nowadays to spend some money on decent servers for the game,384.1,436.0,17,Not Recommended,January 4,Call of Duty®,"Cheating Death
435 products in account",False
48572,2023 while clearly crafted with care in some respects i cannot in good conscience recommend anyone buy this game the reason behind that is what exactly you are buying a pretty okay campaign that is a somewhat worthwhile way to kill 10 hours and the crux of this review a dilapidated abandoned mistreated unfinished barren wasteland of a classic multiplayer experience if you like warzone and plan on just playing warzone then just play warzone there is no reason at all to buy this game they treat classic multiplayer like it s just warzone weapon leveling simulator and the problem with that is the perfectly good other wz weapon leveling simulator that is also free dmz if all you care about is leveling weapons for wz look up farming tutorials to use in dmz if on the other hand you were hoping that by purchasing this game you can get access to a quality classic multiplayer experience the likes of which we had a decade ago you will find yourself sorely disappointed and betrayed i was going to go into great depth to show just how lazily classic multiplayer has been treated but honestly it s not worth any more time than i ve already wasted writing this review just settle on this the game feels like it has 4 maps there is no 9v9 or 10v10 post launch seasonal content focuses 95 on wz and dmz the free aspects of the game lobbies disband after every game which opens the door to predatory retention based matchmaking that transparently attempts to get you hooked in a perpetually up dopamine down dopamine cycle etc i m upset because the game had so much potential to be special i hadn t played a cod game since the first black ops before i got this game and i was really excited to get hooked on this game after seeing how much content and support mw2019 got on launch and post launch but after the release of what classic multiplayer content they are offering in season 2 it s clear that classic multiplayer is absolutely dead and basically just in maintenance mode at this point four months after launch it s just sad and there is absolutely no excuse for classic multiplayer in this franchise which consistently makes a billion dollars once a year to get shafted like this,147.6,986.0,17,Not Recommended,"February 11, 2023",Call of Duty®,HandsomeAwkward,False
48587,2022 are you wasting your time again son,94.0,751.0,411,Recommended,"December 18, 2022",Call of Duty®,dandan,False
