Unnamed: 0,review,hours_played,helpful,funny,recommendation,date,game_name,username,predicted
79807,2021 this game taught me two very valuable lessons in life don t trust anyone and have a plan to kill everything that moves,96.3,528.0,249,Recommended,"28 August, 2021",Sea of Thieves: 2024 Edition,"Jvr
224 products in account",True
79810,2021 edit 12 2 it s been a while since i first wrote this so adding an update section at the bottom original review sea of thieves is the distilled essence of adventure you start the game up grab some supplies with your friends load up your ship and set sail to see what fate awaits you i offer this game an easy recommend under a couple of conditions the first is that you like the chaos of unknown adventure and the second is that you don t mind when it all goes pear shaped sea of thieves has you being a pirate on the ocean with other players sailing from island to island fighting skeletons ghost ships digging up treasure solving riddles delivering cargo and fighting sea monsters and you never quite know what s going to happen next on your adventure there s plenty of things to chase and you ll never be without a task for long if you care to pick one up from one of the vendors one important design choice that you should be aware of before jumping into this game is that every session is a fresh start you spawn in with your ship and bare bone supplies there s no progression between sessions aside from cosmetics you unlock which is also the only thing you unlock more on that below while this can be a bit of a bummer it s actually quite freeing every time you launch the game you re given a new ship new supplies and an ocean full of treasure to explore truly you have nothing to lose until you find treasure that is then you have something to lose the game is simply fantastic at giving you a unique adventure every time you sail solo or with friends and it s shockingly easy to play solo if you desire the smallest ship the sloop is very solo player friendly if you wish to be an asocial pirate the only progression in this game is cosmetics anything else you get exists solely to get you you guessed it more cosmetics this makes the cash shop a little weird but hey the upside is that nobody is going to beat you because they have a better sword ship or guns the game recently started a battle pass system with season one the pass for season one is frankly a little underwhelming i m willing to give it a pass since the game is quite enjoyable without but you re not missing out on anything exciting by not getting the pass update since it s been a fair while and four full seasons since i first wrote this review i felt it was time for an update overall i still stand by the original review with the same disclaimer that you have to be able to accept the wins and losses both in this game it certainly can be frustrating at times but much like the ship you have to let it roll off you like water if you let the bad moments cling to you like barnacles then you ll be just as scuttled as your ships season five just launched and after a middling season 2 content packed seasons 3 and 4 season 5 could be called the quality of life season there s a decent chunk of new content though nothing like the previous seasons which is a reasonably high bar 5 story missions in season 3 and roughly 8 or so new explorable lootable areas for season 4 the biggest quality of life change in s5 is being able to quickly and easily transfer resources from barrels and storage crates without having to open the interface this along probably would have given me another 100 hours in the game but they also decided to add a buried treasure system indeed you can bury your treasure to create a treasure map then you can put that map up on the quest board at any outpost other pirates can take this and if they successfully sell your treasue boom you get rewarded too how fantastic is that it s even better than that though you can take up to five treasure pers per in game day from the board this amount is pretty reasonable i feel the days go quickly in the sea of thieves and these other player maps will contain buried treasure of their own of course quality of treasure may vary as it could be anything though there are commendations to encourage big fruitful treasure maps really it s a box of chocolates you never know what you re gonna get the best part of the whole treasure map system though they re saved on your quests table as an item called a map bundle what s that mean it means if you sink you lose your maps and need to recover the bundle or that other people could steal your maps or you could steal their maps i guess if you re a jerk while the idea that you can lose your treasure maps may feel a bit unfortunate it s lovely design because it means they re transferable you could gift the map bundle or simply leave it at an outpost when you re done for someone else to find it adds excitement in that the treasure you buried could be yoinked by a boarder and carried away or that you could recover your stolen bundle to regain your rightful treasure it adds another layer of things for pirates to bicker and barter over and it means that should things go bad for all involves the treasue may be lost to all the game has been at it s best when it balances the thrill of gain with the risk of lose even though the sting of loss can be quite painful it s something we must learn to accept remember the whole ocean is open to you so long as you go in with the attitude that what happens happens,391.4,340.0,6,Recommended,"January 29, 2021",Sea of Thieves: 2024 Edition,"64bitrobot
1,244 products in account",False
79812,2022 124 hours of gameplay and still confused on what do we do with the drunken sailor,343.7,523.0,382,Recommended,"May 20, 2022",Sea of Thieves: 2024 Edition,"AnomPisan
101 products in account",True
79817,2021 sea of thieves is fun for all ages i m 36 years old my parents are in their 50s and my children are 10 and 12 we all play sea of thieves the graphics are gorgeous and the environment immerses you in to the pirate life the game has story line aspects with its tall tales or you can get voyages to kill off captain skeletons battle skeleton and ghost ships find lost merchandise in sunken ships or good old fashion treasure hunting there are world events that rotate throughout the day this includes skeleton fleets skeleton forts fire tornadoes that spawn in boss enemies and the infamous flameheart and his ghost fleet i find the game has a good balance of pve and pvp so you are able to attack player ships and vice versa plus during your voyages surprise attacks from megladons krakens and even a skeleton ship can attack this game keeps you on your toes and wanting more i highly recommend it,707.3,662.0,38,Recommended,"March 18, 2021",Sea of Thieves: 2024 Edition,"seemorehearts
32 products in account",True
79823,if you see red water keep going,163.4,393.0,163,Recommended,March 12,Sea of Thieves: 2024 Edition,ForVictory2017,True
79824,2022 lost four hours of loot to one gunpowder barrel10 10,134.9,333.0,180,Recommended,"December 15, 2022",Sea of Thieves: 2024 Edition,"Cletus
183 products in account",True
79825,2020 sunset sailing while playing bosun bill with all 4 instruments is on another level man i m telling you,200.2,572.0,93,Recommended,"June 16, 2020",Sea of Thieves: 2024 Edition,"Mannox
969 products in account",False
79829,2020 ah man where to begin the art design playful whimsical charming paired with the fantastic water effects and the day night cycle the world feels uplifting from minute 1 you can practically smell the crisp salty air the learning curve reasonable you can master the basics within the first hour and then spend the next 100 hours living your best piratey life the play style interestingly enough you don t level up your weapons skills or ship s abilities the changes are purely cosmetic and i love it while i ve enjoyed games that require you to level up your gear or unlock moves this style feels much more comfortable you get to decide if you want to invest time in a quest chain that unlocks a new item a cool ship s livery a flashy new hat but you aren t penalized for being a newcomer yes the fancy canons look nice but they are just as powerful as the default canons you build your reputation with different factions aka companies which leads to unlocking better paying gigs aka voyages and cool looking items this works to the benefit of everyone in your crew a sailor who has a higher rank with a specific company than their crewmates will be able to pick up a better paying voyage and then everyone in their crew can participate i love this if you happen to outrank your friends crewmates you can offer to buy that voyage some aspects of play require everyone to be on the same page ie tall tales but that s ok means you can have a positive experience doing one off voyages some times and other times hunker down and work toward longer gameplay arcs my experience so far i played the beta but only recently bought the game even though i missed a massive gap of updates i don t feel left behind i love going on adventures with my friends or winding down the evening with some solo slooping i live in a different timezone than my crew which has meant i have time earlier in my evenings to invest in the pre adventure prepwork gathering supplies for the ship fishing and cooking said fish so we ll have extra stamina it s fun and is surprisingly soothing pvp has been interesting when i solo i try to avoid conflict when i m with my crew we meet it head on both dynamics are enjoyable being stealthy hiding behind mountains darting around the map versus gearing up and letting the cannons fly so good why i especially like this game and why you might like it too i m a fan of all things nautical and i come from a wow background for me this feels like the best parts of wow you can tackle massive monsters with your friends you can choose to grind for random achievements and you can spend as much time as you want getting sidetracked by treasure and exploration plus the outfits livery options since the outfits and ship details are purely cosmetic you can mix and match to your heart s content i imagine you would not like this game if you only have 10 minutes of spare time to play games you hate everything to do with water i imagine you would like this game if you have always wanted to be a pirate you have at least one person to adventure with some of the time you like to blow things up you like to sneak away from danger when playing other games you find yourself getting lost and spending hours not doing the mission objectives but have a better time for it tl dr i highly recommend this game for the buccaneer in all of us,663.9,284.0,8,Recommended,"October 19, 2020",Sea of Thieves: 2024 Edition,Skyros,False
79830,2021 didn t understand the point of this game when i first started now i am nearly 100 hours in i still don t understand the main objective of this game but you get to sail a ship and fire cannons at other people,102.5,268.0,141,Recommended,"October 28, 2021",Sea of Thieves: 2024 Edition,"BiaThemis
240 products in account",False
79831,2022 my friend and i harpooned a megalodon and the entire ship flipped 10 10,76.7,235.0,167,Recommended,"August 17, 2022",Sea of Thieves: 2024 Edition,"3three333
363 products in account",True
